iter	RMSE
0	0.9609621587
1	0.9537376258
2	0.9471268469
3	0.9398731964
4	0.93255265
5	0.9256259081
6	0.9194638446
7	0.9133272097
8	0.9078888519
9	0.902920301
10	0.8973193952
11	0.8919147824
12	0.8862147624
13	0.8811849526
14	0.876659569
15	0.8725454251
16	0.8687215323
17	0.8644281877
18	0.8602000221
19	0.8558590138
20	0.8520512435
21	0.8483665321
22	0.8447029623
23	0.8414234581
24	0.8381825982
25	0.8348822946
26	0.8316133508
27	0.828435564
28	0.8255325743
29	0.8231811346
30	0.8209455467
31	0.8183218782
32	0.815521879
33	0.813075106
34	0.8107336195
35	0.8080812781
36	0.8055903856
37	0.8036790586
38	0.801245262
39	0.7995350488
40	0.7975069836
41	0.7950944835
42	0.7929896172
43	0.7910541188
44	0.7890835559
45	0.7875720235
46	0.785892968
47	0.7839075846
48	0.782156688
49	0.7801819485
50	0.7787662552
51	0.7772935129
52	0.7759928363
53	0.7741163703
54	0.7729896047
55	0.7714811067
56	0.7700315294
57	0.7686672911
58	0.767153032
59	0.7659625431
60	0.7647781547
61	0.7635079543
62	0.7624185427
63	0.7611103092
64	0.7598061024
65	0.7585117138
66	0.7573417581
67	0.755787071
68	0.7547047865
69	0.7534889444
70	0.7526260271
71	0.7516173918
72	0.7507183248
73	0.749447866
74	0.7483567484
75	0.7470071187
76	0.7457412045
77	0.7445948228
78	0.7436438509
79	0.7426043209
80	0.741761284
81	0.7405243988
82	0.7391420236
83	0.7382632857
84	0.7373606639
85	0.7365071781
86	0.7355222371
87	0.7346049093
88	0.7336880244
89	0.7326123625
90	0.7316713812
91	0.7305820069
92	0.7297138278
93	0.7288960909
94	0.7279561787
95	0.7271747529
96	0.7265564376
97	0.7258558737
98	0.7250101398
99	0.7241678881
100	0.7234240102
101	0.7226946875
102	0.7217934642
103	0.7209512031
104	0.7202246824
105	0.719419439
106	0.7187750127
107	0.7178833647
108	0.7172827039
109	0.7167540844
110	0.7159735224
111	0.7153889079
112	0.7148357617
113	0.7139018701
114	0.7132036518
115	0.7123707125
116	0.7116094728
117	0.7107584658
118	0.7101037949
119	0.7097183829
120	0.7092794012
121	0.7087443972
122	0.7082890608
123	0.7075438842
124	0.7066886828
125	0.7060630198
126	0.7055007632
127	0.7049489139
128	0.703998861
129	0.7034606643
130	0.7027826436
131	0.7021711412
132	0.7013691062
133	0.7006968215
134	0.7002727676
135	0.6995649376
136	0.6990017407
137	0.6984131894
138	0.6980032051
139	0.6972051039
140	0.6967218564
141	0.6962218708
142	0.6958558641
143	0.6954927114
144	0.694699906
145	0.6941141393
146	0.6934086222
147	0.6925290842
148	0.6920203259
149	0.6914428559
150	0.6910664544
151	0.6904047043
152	0.689944942
153	0.6893748507
154	0.6888226509
155	0.6884459156
156	0.6878683102
157	0.6873782835
158	0.6868054132
159	0.68652142
160	0.6860772883
161	0.6854661424
162	0.6847802263
163	0.6842709194
164	0.6837066483
165	0.683026923
166	0.6825734339
167	0.6818954983
168	0.6813158356
169	0.6808818566
170	0.6803057818
171	0.6798059645
172	0.6794862949
173	0.6790850253
174	0.6785832066
175	0.6782687694
176	0.6774549567
177	0.6771119181
178	0.6765282818
179	0.6761272857
180	0.6755581664
181	0.6751007929
182	0.6748538534
183	0.6743428313
184	0.6740211655
185	0.6735436969
186	0.6732246272
187	0.6726273745
188	0.672374423
189	0.6717747096
190	0.6712179575
191	0.6707021774
192	0.6702957562
193	0.6697625802
194	0.6694345511
195	0.6690590164
196	0.6684176557
197	0.6680773706
198	0.667666289
199	0.66731071
200	0.6669550017
201	0.6664143498
202	0.6659395053
203	0.6656785266
204	0.6650722185
205	0.6645282998
206	0.6638336877
207	0.6634534931
208	0.6629695585
209	0.6624455061
210	0.6621755003
211	0.6618190622
212	0.6614836803
213	0.661114658
214	0.6608527464
215	0.6603788489
216	0.6599723637
217	0.6596389957
218	0.6593021681
219	0.6588149473
220	0.6585387673
221	0.6582064387
222	0.6579780222
223	0.6575196151
224	0.6572114926
225	0.6567958789
226	0.6565956795
227	0.6560595026
228	0.6556858034
229	0.6553256243
230	0.6548621723
231	0.6545994863
232	0.6542613722
233	0.6536929227
234	0.6532308059
235	0.6527234904
236	0.6522871036
237	0.6518384827
238	0.6514283412
239	0.6511026407
240	0.6507780749
241	0.6504119547
242	0.650050041
243	0.6498705946
244	0.6494355747
245	0.6488817578
246	0.6484875638
247	0.648074246
248	0.6477727581
249	0.6473835067
250	0.6470432135
251	0.6466130695
252	0.6460394564
253	0.6458147181
254	0.6455131443
255	0.6451607226
256	0.6447071787
257	0.6443835521
258	0.6441935047
259	0.6438659938
260	0.6435555732
261	0.6431144657
262	0.6428824175
263	0.6426473315
264	0.6421010986
265	0.6417164379
266	0.6413777024
267	0.6410197539
268	0.6407545489
269	0.6404056772
270	0.6401087832
271	0.6395460433
272	0.6391815162
273	0.6388627537
274	0.6385379778
275	0.6381830557
276	0.6376315736
277	0.6371480741
278	0.6369048756
279	0.6366685908
280	0.6362800717
281	0.6359597812
282	0.6355220934
283	0.6350049729
284	0.6347920251
285	0.634422951
286	0.6341493235
287	0.6339284444
288	0.633542115
289	0.6330973006
290	0.6328876039
291	0.6326214967
292	0.6322474314
293	0.6321153188
294	0.6319630627
295	0.6317516758
296	0.6314165849
297	0.6309803032
298	0.6307475635
299	0.6304699274
300	0.6302041488
301	0.6297976113
302	0.6294907189
303	0.6291401007
304	0.6287348997
305	0.628256204
306	0.6279120389
307	0.6276809025
308	0.6274602682
309	0.6268926605
310	0.6263961059
311	0.6260171374
312	0.6256936985
313	0.6252660465
314	0.6249868165
315	0.6246763825
316	0.624261448
317	0.6239800743
318	0.6236681812
319	0.6233749107
320	0.6230591136
321	0.6225761463
322	0.6223599263
323	0.6219932383
324	0.6216770362
325	0.6211585793
326	0.6209421157
327	0.6206533371
328	0.6203891746
329	0.6201084327
330	0.6196763155
331	0.6194424726
332	0.6191906288
333	0.6189110802
334	0.6185801248
335	0.6183552712
336	0.6179077222
337	0.6175140299
338	0.6172458523
339	0.6168381144
340	0.6165491073
341	0.6161995621
342	0.615886012
343	0.6155753727
344	0.6153884641
345	0.6149554582
346	0.6146600316
347	0.6140584403
348	0.6134694381
349	0.6129093758
350	0.6125209176
351	0.6121286727
352	0.611846937
353	0.611502786
354	0.6109008978
355	0.6105215529
356	0.6101133139
357	0.6096838793
358	0.6094082776
359	0.6091684291
360	0.6087963096
361	0.6084192323
362	0.6080399639
363	0.6076639931
364	0.6074574166
365	0.607254946
366	0.6069554018
367	0.6066927193
368	0.6062278803
369	0.6058892592
370	0.6056439784
371	0.6053249638
372	0.6048627218
373	0.6044418429
374	0.6039651383
375	0.6036507641
376	0.6032518665
377	0.6029014807
378	0.6026618344
379	0.602246807
380	0.6019102045
381	0.6017466655
382	0.6014841044
383	0.601323916
384	0.600975531
385	0.6007232024
386	0.6004922822
387	0.6000177624
388	0.5997243531
389	0.5994722154
390	0.5991589478
391	0.5987734829
392	0.5985990892
393	0.5984577399
394	0.5982198599
395	0.5979783966
396	0.5976786616
397	0.5975002121
398	0.5970765449
399	0.5966133428
400	0.5964167292
401	0.5960833876
402	0.5957396382
403	0.5953621519
404	0.5950155334
405	0.5947962071
406	0.5946396241
407	0.5941759439
408	0.5937926975
409	0.5934516747
410	0.5930159109
411	0.5927720334
412	0.5923112523
413	0.5919675407
414	0.5917617881
415	0.591318927
416	0.5910714095
417	0.5908467366
418	0.5904173807
419	0.5900469529
420	0.5897023856
421	0.5892830607
422	0.5890501305
423	0.5887055304
424	0.5882992698
425	0.5880282171
426	0.5875750466
427	0.5872098805
428	0.5867793815
429	0.5865756508
430	0.5863557806
431	0.5861433894
432	0.585881539
433	0.5856345752
434	0.5852807173
435	0.5849720797
436	0.5846801122
437	0.5843008923
438	0.5839833282
439	0.5836574352
440	0.5832846849
441	0.5830986149
442	0.5827921563
443	0.5824046018
444	0.5821365951
445	0.5819220068
446	0.5817753765
447	0.5815351215
448	0.5811649372
449	0.581012523
450	0.5806202258
451	0.5803960432
452	0.5801910406
453	0.5798927398
454	0.5796500005
455	0.5792378495
456	0.5789997936
457	0.5786904775
458	0.5783833093
459	0.5781738925
460	0.5778869599
461	0.5775543475
462	0.5772055688
463	0.5769669467
464	0.576672814
465	0.5764044482
466	0.5760551884
467	0.5757851281
468	0.5755279129
469	0.5752674204
470	0.5751121512
471	0.5749476181
472	0.5746289949
473	0.5743453886
474	0.5741719294
475	0.5738984892
476	0.5736414863
477	0.5733324152
478	0.5731875625
479	0.5729217547
480	0.572749287
481	0.5725213264
482	0.5723038549
483	0.5720404159
484	0.5717344033
485	0.571495963
486	0.5713599845
487	0.5709506908
488	0.5707088356
489	0.5704054331
490	0.570072554
491	0.5698476582
492	0.5694865813
493	0.5691901955
494	0.5689401099
495	0.5686609461
496	0.5684017554
497	0.5681194852
498	0.5679334534
499	0.5675579455
500	0.5672910819
501	0.566967123
502	0.5668413543
503	0.5666188827
504	0.5664021216
505	0.5662580058
506	0.565858666
507	0.5656991657
508	0.5655116997
509	0.5653733716
510	0.5650966017
511	0.5647775533
512	0.5645048773
513	0.5643222014
514	0.5639696908
515	0.5637236224
516	0.5633512531
517	0.5632052248
518	0.5628671339
519	0.562716772
520	0.5623732704
521	0.5620433057
522	0.5618090886
523	0.5616163031
524	0.5613124721
525	0.5611820285
526	0.5609354395
527	0.5607800071
528	0.5605785123
529	0.5603288208
530	0.5599821597
531	0.5597811992
532	0.5595279517
533	0.5593700534
534	0.5591350063
535	0.5588080525
536	0.5585376671
537	0.5582934974
538	0.5581702867
539	0.5579006466
540	0.5577195785
541	0.5573769519
542	0.5570806787
543	0.5567118719
544	0.556581345
545	0.5562945839
546	0.556037466
547	0.5557296362
548	0.5554180464
549	0.5551127254
550	0.5549125213
551	0.5546371726
552	0.5544528313
553	0.5542057525
554	0.5539672705
555	0.5535804446
556	0.5534916467
557	0.5530504816
558	0.552834104
559	0.5524322087
560	0.5523146726
561	0.5519668008
562	0.5517804905
563	0.5514922713
564	0.5512681145
565	0.5511167495
566	0.5508357524
567	0.5505511595
568	0.5503834412
569	0.5502069012
570	0.5499193377
571	0.5496739015
572	0.5494682895
573	0.5492309384
574	0.5490121064
575	0.5488295849
576	0.5485593991
577	0.5483564212
578	0.5481695419
579	0.5479187182
580	0.5477877746
581	0.5475703641
582	0.5472321423
583	0.5470675074
584	0.5469753226
585	0.5468455185
586	0.5466323905
587	0.5464846801
588	0.5463259911
589	0.5460314733
590	0.5458666984
591	0.5455553881
592	0.545258143
593	0.544933341
594	0.5447386099
595	0.5445026528
596	0.5442376525
597	0.544045351
598	0.5437540835
599	0.5434845723
