iter	Passed	Remaining
162	1183	3174
163	1190	3164
164	1196	3155
165	1203	3145
166	1209	3135
167	1216	3128
168	1222	3118
169	1230	3112
170	1236	3101
171	1242	3090
172	1248	3080
173	1254	3070
174	1260	3061
175	1268	3055
176	1274	3045
177	1279	3033
178	1285	3024
179	1291	3014
180	1297	3003
181	1302	2992
182	1309	2982
183	1314	2971
184	1320	2961
185	1325	2949
186	1331	2939
187	1336	2928
188	1341	2918
189	1347	2907
190	1352	2896
191	1358	2886
192	1363	2875
193	1369	2866
194	1375	2856
195	1380	2845
196	1386	2836
197	1391	2825
198	1397	2816
199	1403	2806
200	1409	2797
201	1414	2787
202	1419	2776
203	1425	2767
204	1432	2759
205	1439	2753
206	1446	2746
207	1452	2737
208	1457	2727
209	1463	2717
210	1468	2707
211	1475	2699
212	1480	2689
213	1486	2681
214	1492	2672
215	1497	2662
216	1503	2652
217	1508	2643
218	1514	2634
219	1520	2625
220	1525	2615
221	1530	2606
222	1537	2598
223	1543	2590
224	1549	2582
225	1555	2573
226	1560	2564
227	1565	2554
228	1571	2545
229	1578	2538
230	1584	2531
231	1590	2523
232	1597	2516
233	1603	2508
234	1609	2499
235	1615	2491
236	1620	2482
237	1626	2473
238	1631	2464
239	1638	2457
240	1643	2448
241	1651	2442
242	1657	2435
243	1664	2428
244	1671	2422
245	1679	2416
246	1687	2412
247	1694	2405
248	1701	2398
249	1707	2390
250	1713	2382
251	1718	2373
252	1724	2365
253	1729	2355
254	1734	2346
255	1740	2339
256	1746	2330
257	1751	2322
258	1757	2314
259	1763	2305
260	1768	2296
261	1774	2288
262	1780	2281
263	1786	2274
264	1792	2266
265	1798	2257
266	1804	2250
267	1809	2241
268	1815	2233
269	1821	2225
270	1827	2218
271	1833	2210
272	1838	2202
273	1845	2195
274	1850	2186
275	1856	2178
276	1862	2171
277	1867	2163
278	1872	2154
279	1878	2146
280	1883	2138
281	1889	2131
282	1895	2123
283	1901	2115
284	1907	2107
285	1912	2099
286	1918	2091
287	1923	2083
288	1928	2075
289	1935	2068
290	1941	2061
291	1947	2054
292	1953	2046
293	1958	2038
294	1963	2030
295	1969	2022
296	1975	2015
297	1980	2007
298	1985	1998
299	1990	1990
300	1996	1983
301	2002	1976
302	2009	1970
303	2016	1963
304	2023	1957
305	2030	1950
306	2036	1943
307	2041	1935
308	2047	1928
309	2053	1921
310	2059	1914
311	2064	1906
312	2070	1898
313	2075	1890
314	2081	1883
315	2088	1876
316	2094	1869
317	2100	1863
318	2106	1855
319	2111	1847
320	2117	1840
321	2123	1833
322	2129	1826
323	2135	1818
324	2141	1811
325	2147	1804
326	2152	1797
327	2158	1790
328	2164	1783
329	2171	1776
330	2177	1769
331	2183	1762
332	2189	1755
333	2195	1748
334	2202	1742
335	2208	1735
336	2213	1727
337	2219	1720
338	2225	1713
339	2230	1705
340	2237	1699
341	2243	1692
342	2249	1685
343	2254	1677
344	2260	1670
345	2266	1663
346	2272	1656
347	2277	1649
348	2282	1641
349	2288	1634
350	2293	1627
351	2299	1619
352	2305	1613
353	2310	1605
354	2317	1599
355	2322	1592
356	2328	1584
357	2333	1577
358	2339	1570
359	2345	1563
360	2351	1556
361	2356	1549
362	2362	1542
363	2369	1535
364	2374	1528
365	2379	1521
366	2385	1514
367	2390	1506
368	2396	1500
369	2401	1493
370	2407	1485
371	2412	1478
372	2418	1471
373	2424	1464
374	2429	1457
375	2435	1450
376	2441	1444
377	2447	1437
378	2452	1430
379	2458	1423
380	2464	1416
381	2470	1409
382	2476	1402
383	2482	1396
384	2488	1389
385	2494	1383
386	2500	1376
387	2505	1368
388	2510	1361
389	2516	1355
390	2521	1347
391	2527	1341
392	2533	1334
393	2538	1327
394	2543	1320
395	2548	1313
396	2554	1306
397	2560	1299
398	2565	1292
399	2570	1285
400	2575	1278
401	2581	1271
402	2588	1265
403	2594	1258
404	2601	1252
405	2609	1246
406	2615	1240
407	2621	1233
408	2629	1227
409	2637	1222
410	2645	1216
411	2652	1210
412	2658	1203
413	2664	1197
414	2670	1190
415	2676	1183
416	2681	1176
417	2687	1170
418	2692	1163
419	2698	1156
420	2704	1149
421	2709	1142
422	2714	1136
423	2720	1129
424	2726	1122
425	2731	1115
426	2737	1109
427	2744	1103
428	2751	1096
429	2757	1090
430	2763	1083
431	2768	1076
432	2774	1070
433	2780	1063
434	2785	1056
435	2791	1050
436	2797	1043
437	2804	1037
438	2810	1030
439	2815	1023
440	2821	1017
441	2826	1010
442	2832	1004
443	2838	997
444	2843	990
445	2849	983
446	2854	977
447	2860	970
448	2865	963
449	2870	956
450	2876	950
451	2881	943
452	2888	937
453	2894	930
454	2900	924
455	2906	917
456	2911	911
457	2917	904
458	2922	897
459	2927	891
460	2933	884
461	2939	877
462	2945	871
463	2951	865
464	2956	858
465	2962	851
466	2968	845
467	2973	838
468	2979	832
469	2984	825
470	2990	818
471	2996	812
472	3001	806
473	3007	799
474	3012	792
475	3018	786
476	3024	779
477	3029	773
478	3035	766
479	3041	760
480	3046	753
481	3052	747
482	3058	740
483	3064	734
484	3069	727
485	3075	721
486	3081	714
487	3087	708
488	3093	702
489	3099	695
490	3105	689
491	3110	682
492	3116	676
493	3122	670
494	3128	663
495	3134	657
496	3139	650
497	3145	644
498	3151	637
499	3157	631
500	3163	625
501	3169	618
502	3175	612
503	3181	605
504	3187	599
505	3193	593
506	3199	586
507	3205	580
508	3211	574
509	3217	567
510	3223	561
511	3229	554
512	3234	548
513	3240	542
514	3246	535
515	3251	529
516	3257	522
517	3262	516
518	3268	510
519	3273	503
520	3278	497
521	3284	490
522	3289	484
523	3295	477
524	3301	471
525	3307	465
526	3313	458
527	3318	452
528	3325	446
529	3332	440
530	3337	433
531	3342	427
532	3348	420
533	3354	414
534	3359	408
535	3365	401
536	3370	395
537	3376	389
538	3382	382
539	3387	376
540	3393	370
541	3399	363
542	3405	357
543	3410	351
544	3415	344
545	3421	338
546	3426	332
547	3432	325
548	3437	319
549	3443	313
550	3448	306
551	3454	300
552	3459	294
553	3465	287
554	3470	281
555	3475	275
556	3480	268
557	3486	262
558	3491	256
559	3497	249
560	3502	243
561	3508	237
562	3514	230
563	3519	224
564	3524	218
565	3529	212
566	3535	205
567	3540	199
568	3546	193
569	3552	186
570	3559	180
571	3566	174
572	3573	168
573	3579	162
574	3586	155
575	3592	149
576	3600	143
577	3607	137
578	3613	131
579	3619	124
580	3624	118
581	3630	112
582	3635	106
583	3641	99
584	3647	93
585	3652	87
586	3658	81
587	3664	74
588	3670	68
589	3675	62
590	3681	56
591	3687	49
592	3692	43
593	3698	37
594	3704	31
595	3710	24
596	3716	18
597	3722	12
598	3727	6
599	3733	0
