cluster_label,feature,global_mean,cluster_mean,absolute_difference
0,wind_x_vector,-2.432584523839008e-17,0.9329735125122463,0.9329735125122463
0,wind_y_vector,-3.04073065479876e-17,0.7441232429087069,0.7441232429087069
0,pollution_stagnation_index,2.6758429762229086e-16,-0.6713679282275167,0.6713679282275169
0,wind_speed_10m (km/h),3.618469479210524e-16,0.5551418410561747,0.5551418410561744
0,relative_humidity_2m (%),8.818118898916403e-17,-0.4487337699581725,0.4487337699581726
0,month_cos,1.3379214881114543e-16,-0.4353569316613778,0.4353569316613779
0,temperature_2m (°C),4.865169047678016e-17,0.41888955843532455,0.4188895584353245
0,hour_sin,-1.900456659249225e-17,-0.4001590120331567,0.4001590120331567
0,total_generation_mw,9.730338095356031e-17,-0.29149816538075873,0.29149816538075884
0,rain (mm),5.625351711377705e-17,-0.24345971710182193,0.243459717101822
0,hour_cos,-4.5610959821981395e-18,-0.11205583074526113,0.11205583074526113
0,month_sin,-9.730338095356031e-17,0.0011972394117125027,0.0011972394117126001
1,month_sin,-9.730338095356031e-17,1.2636457016646108,1.2636457016646108
1,wind_x_vector,-2.432584523839008e-17,-0.765042456085688,0.765042456085688
1,wind_y_vector,-3.04073065479876e-17,-0.5259365283538984,0.5259365283538984
1,temperature_2m (°C),4.865169047678016e-17,-0.50774955011611,0.50774955011611
1,pollution_stagnation_index,2.6758429762229086e-16,0.28776376505495443,0.28776376505495416
1,total_generation_mw,9.730338095356031e-17,0.268062595507044,0.26806259550704387
1,rain (mm),5.625351711377705e-17,-0.24345971710182196,0.24345971710182202
1,relative_humidity_2m (%),8.818118898916403e-17,0.23054906166457517,0.2305490616645751
1,month_cos,1.3379214881114543e-16,-0.18034223892839357,0.1803422389283937
1,wind_speed_10m (km/h),3.618469479210524e-16,-0.1686351567749257,0.16863515677492605
1,hour_sin,-1.900456659249225e-17,0.10802168855163863,0.10802168855163864
1,hour_cos,-4.5610959821981395e-18,0.05014244705065267,0.050142447050652676
2,temperature_2m (°C),4.865169047678016e-17,1.1084254997627523,1.1084254997627523
2,wind_y_vector,-3.04073065479876e-17,-0.9830899702751396,0.9830899702751396
2,relative_humidity_2m (%),8.818118898916403e-17,-0.945040661841736,0.9450406618417361
2,wind_x_vector,-2.432584523839008e-17,-0.7157663230195278,0.7157663230195278
2,month_sin,-9.730338095356031e-17,-0.5499882485124366,0.5499882485124364
2,month_cos,1.3379214881114543e-16,-0.47469074415360873,0.47469074415360885
2,hour_cos,-4.5610959821981395e-18,-0.4686601796328264,0.4686601796328264
2,rain (mm),5.625351711377705e-17,-0.24345971710182196,0.24345971710182202
2,total_generation_mw,9.730338095356031e-17,-0.19652821858413508,0.1965282185841352
2,wind_speed_10m (km/h),3.618469479210524e-16,-0.16923377384485266,0.16923377384485302
