cluster_label,count,cluster_ratio,cluster_confidence_mean,cluster_confidence_min,cluster_confidence_max,log_likelihood_mean,log_likelihood_min,log_likelihood_max,pm25_real_mean,pm25_real_median,pm25_real_min,pm25_real_max
0,2504,0.26789344174601476,0.9592977869396655,0.41736743706860163,0.999997834683406,-7.315607837041397,-17.459511459803355,-4.224257862693603,7.562727180511182,6.5954999999999995,1.4326600000000007,41.20100000000002
1,1904,0.20370172247780036,0.9732125010260116,0.5006565685493182,0.999983308122225,-8.558633739596251,-21.94984565350957,-5.343596820384041,11.379110420168066,9.18,1.4326600000000007,43.804859999999955
2,1269,0.13576548625227344,0.9656511171900344,0.3833124351485071,0.9999988208523714,-8.528858339233466,-19.065114295971696,-4.926161645705162,9.352386130811663,8.857999999999999,1.5629999999999997,29.206999999999997
3,1167,0.12485289397667701,0.9990882758419656,0.8469076665861782,0.9999997425624454,-5.24369565355063,-19.1001810117396,-2.4747441180863503,17.505217240788344,14.801999999999998,1.4326600000000007,43.804859999999955
4,1449,0.15502300203273778,0.9439773675769347,0.4639472431400365,0.9999871306626313,-4.819846649560187,-17.842786738549826,-1.1613554491467304,10.202540372670807,9.444999999999999,2.108000000000001,39.447999999999986
5,1054,0.11276345351449663,0.9876678700804871,0.468224289764003,1.0,-16.559445375910478,-25.16289667080304,-13.501069283934225,8.147508785578747,6.662000000000003,1.4326600000000007,43.804859999999955
