datetime,date,hour_sin,hour_cos,month_sin,month_cos,pollution_stagnation_index,wind_x_vector,wind_y_vector,total_generation_mw,temperature_2m (°C),rain (mm),relative_humidity_2m (%),wind_direction_10m (°),wind_speed_10m (km/h),pm25,cluster_label,cluster_probability,outlier_score,umap_1,umap_2,cluster_label_str,is_noise
2024-05-15 06:00:00,2024-05-15,1.4117699784467337,-0.0100228396832727,0.8913641632090714,-0.8149731287054847,0.8065176164590494,-0.0902586832004075,0.2730789457016069,0.5054348454685427,-0.8750786262088197,-0.243459717101822,1.4817309970565185,-0.5097636696451339,-0.8151938986419904,-0.5249293152015688,1,0.9476980898880409,0.29611941316653606,9.804385,1.7109213,1,Clustered
2024-05-15 07:00:00,2024-05-15,1.3634826698907698,-0.3753232836843744,0.8913641632090714,-0.8149731287054847,1.16746720107534,-0.4667053701455814,0.0260839039844171,0.5192877894604983,-0.6395525912263246,-0.243459717101822,1.045085517935902,0.0810145425411734,-0.9924965608892096,-0.187277071401025,1,0.9294042904826727,0.30970670472938544,9.134498,1.3947828,1,Clustered
2024-05-15 08:00:00,2024-05-15,1.2219114445024155,-0.7157291061143282,0.8913641632090714,-0.8149731287054847,1.1204436216272198,-0.6089900054989048,-0.3297077251366159,0.497123079073369,-0.3922502544947048,-0.243459717101822,0.6084400388152853,0.5992410444589868,-0.9747662946644876,-0.1734464089410818,-1,0.0,0.33822347525805707,8.458353,1.2025703,-1,Noise
2024-05-15 09:00:00,2024-05-15,0.9967041473343766,-1.0080422127217523,0.8913641632090714,-0.8149731287054847,0.1360306847121828,-1.066865433339712,-0.6360427155304027,0.497123079073369,-0.1802768230104592,-0.243459717101822,0.1717945596946686,0.7650735250726871,-0.3010161781250551,0.1995884983901163,-1,0.0,0.3963914698391508,7.6520863,0.9257055,-1,Noise
2024-05-15 10:00:00,2024-05-15,0.7032082835159983,-1.2323419483616,0.8913641632090714,-0.8149731287054847,0.0117417821264115,-1.162532979341236,-0.6266627131699716,0.4721877798878489,-0.0389612020209622,-0.243459717101822,0.0408009159584837,0.7443444649959746,-0.1769043145520017,-1.6085575689791085,-1,0.0,0.5124647988140014,7.391004,0.7139642,-1,Noise
2024-05-15 11:00:00,2024-05-15,0.3614251111416566,-1.3733426567228542,0.8913641632090714,-0.8149731287054847,-0.2291382371183218,-1.3527942537326714,-0.7412024883521504,0.43755541990796,0.1141307207176596,-0.243459717101822,-0.1775218236018245,0.7650735250726871,0.1067799450435486,-0.2010119559615707,-1,0.0,0.413362317499351,7.101896,0.7292967,-1,Noise
2024-05-15 12:00:00,2024-05-15,-0.0053534114147365,-1.421435372545384,0.8913641632090714,-0.8149731287054847,-0.4120760567991988,-1.534285735716324,-0.936750354668907,0.5151319062629114,0.1612359277141584,-0.243459717101822,-0.2648509194259479,0.8065316452261122,0.4081944708638208,-0.1897291494236174,-1,0.0,0.43653148498633176,7.045927,0.65712464,-1,Noise
2024-05-15 13:00:00,2024-05-15,-0.3721319339711298,-1.3733426567228546,0.8913641632090714,-0.8149731287054847,-0.3151615702675581,-1.4944018140347697,-0.499627674290389,0.4901966070773912,0.1141307207176596,-0.243459717101822,-0.2211863715138862,0.6614282246891244,0.2486220748413239,-0.2615221552361608,-1,0.0,0.47053175337612463,7.044075,0.709319,-1,Noise
2024-05-15 14:00:00,2024-05-15,-0.7139151063454715,-1.2323419483616005,0.8913641632090714,-0.8149731287054847,-0.2438237489050232,-1.405855264225822,0.0173124380782313,0.5248289670572801,0.2789989452054059,-0.243459717101822,-0.3958445631621329,0.4645021539603553,0.1599707437177144,-0.3531377540253128,-1,0.0,0.45847049351489333,7.033259,0.83041936,-1,Noise
2024-05-15 15:00:00,2024-05-15,-1.0074109701638494,-1.008042212721753,0.8913641632090714,-0.8149731287054847,-0.1891652483242578,-1.1661993437598135,0.5075471820228172,0.4860407238798044,0.1730122294632833,-0.243459717101822,-0.2648509194259479,0.2364824931165174,0.0713194125941049,-2.33008286597577,-1,0.0,0.6066599652165905,7.0752044,1.3474443,-1,Noise
