feature,importance
temperature_2m (°C),15.463864969217656
month_cos,14.608677124037307
hour_sin,11.919530524994864
total_generation_mw,10.571855928592322
relative_humidity_2m (%),9.884874931638889
hour_cos,6.690720886936759
wind_speed_10m (km/h),6.6309108758859585
month_sin,5.777605687442097
wind_x_vector,5.049974508278769
wind_direction_10m (°),4.7988943648163715
pollution_stagnation_index,3.553264327081364
wind_y_vector,3.4347744775941758
rain (mm),1.6150513934834572
