cluster_label,feature,global_mean,cluster_mean,absolute_difference
0,month_cos,4.865169047678016e-17,2.02291655570585,2.02291655570585
0,temperature_2m (°C),4.865169047678016e-17,-1.5357993442126934,1.5357993442126934
0,total_generation_mw,3.6488767857585116e-17,1.1553473678651076,1.1553473678651076
0,relative_humidity_2m (%),7.297753571517023e-17,1.0595439775094324,1.0595439775094324
0,pm25,2.797472202414859e-16,0.7514544672413772,0.7514544672413769
0,month_sin,-2.432584523839008e-17,-0.651083104631426,0.651083104631426
0,wind_y_vector,-2.28054799109907e-17,0.6071435347294157,0.6071435347294157
0,wind_direction_10m (°),6.157479575967488e-17,-0.5824526584571822,0.5824526584571823
0,wind_x_vector,-2.7366575893188837e-17,0.4870805721514831,0.4870805721514831
0,rain (mm),6.08146130959752e-17,-0.24345971710182193,0.243459717101822
0,pollution_stagnation_index,2.797472202414859e-16,0.20357069381527904,0.20357069381527876
0,hour_cos,-4.181004650348295e-18,0.20284252955914608,0.20284252955914608
0,hour_sin,-2.147516024951624e-17,0.06983663942437976,0.06983663942437979
0,wind_speed_10m (km/h),3.618469479210524e-16,0.05699429683638248,0.056994296836382116
1,wind_direction_10m (°),6.157479575967488e-17,-0.5037868799287862,0.5037868799287863
1,month_sin,-2.432584523839008e-17,-0.44876050562306913,0.44876050562306913
1,month_cos,4.865169047678016e-17,-0.44360259118691053,0.4436025911869106
1,temperature_2m (°C),4.865169047678016e-17,0.38943347172874443,0.3894334717287444
1,wind_y_vector,-2.28054799109907e-17,0.31608442838245454,0.31608442838245454
1,wind_x_vector,-2.7366575893188837e-17,0.30155282085376295,0.30155282085376295
1,hour_cos,-4.181004650348295e-18,0.30120001665960666,0.30120001665960666
1,rain (mm),6.08146130959752e-17,-0.24218278451294295,0.242182784512943
1,total_generation_mw,3.6488767857585116e-17,-0.23906091140052926,0.2390609114005293
1,wind_speed_10m (km/h),3.618469479210524e-16,-0.2150068246559477,0.21500682465594806
1,hour_sin,-2.147516024951624e-17,0.17543513195541371,0.17543513195541374
1,relative_humidity_2m (%),7.297753571517023e-17,-0.13643352162600428,0.13643352162600436
1,pm25,2.797472202414859e-16,-0.09984535820358319,0.09984535820358346
1,pollution_stagnation_index,2.797472202414859e-16,0.032231393701371056,0.03223139370137078
