datetime,date,hour_sin,hour_cos,month_sin,month_cos,pollution_stagnation_index,wind_x_vector,wind_y_vector,temperature_2m (°C),rain (mm),relative_humidity_2m (%),wind_direction_10m (°),wind_speed_10m (km/h),total_gen_rolling_sum_24h,pm25
2023-08-18 09:00:00,2023-08-18,0.9967041473343766,-1.0080422127217523,-1.0552271072283872,-0.1852944192737363,-0.3694620775724438,0.6879056793231747,0.2727415413842894,0.8754689664402902,-0.2323567208168959,0.2589856988814565,-0.98534877952162,-0.072033778943403,-0.5202740787327145,1.0973826971184957
2023-08-18 14:00:00,2023-08-18,-0.7139151063454715,-1.2323419483616005,-1.0552271072283872,-0.1852944192737363,-0.4747327433355868,0.741730154634743,0.5143784198569319,1.7421613316291085,-0.2323567208168959,-1.0922381545999016,-0.9128812387662398,0.1216471073196353,-0.5181849418994608,-0.0542600474299149
2023-08-24 21:00:00,2023-08-24,-1.0074109701638505,0.9879965333552064,-1.0552271072283872,-0.1852944192737363,-0.4745941939868834,0.3260412569415886,0.4965347677667438,0.699788081604719,-0.2323567208168959,0.3897492976054589,-0.7575936514332826,-0.3185367250963612,-0.556386301136098,0.3815141759921436
2023-08-25 00:00:00,2023-08-25,-0.0053534114147367,1.4013896931788383,-1.0552271072283872,-0.1852944192737363,-0.2564604110245492,0.1429877843505942,0.4439821279229388,0.3718504299116524,-0.2323567208168959,1.0435672912254708,-0.6644210990335083,-0.5122176113593996,-0.5972736934440612,1.279640301807326
2023-08-25 01:00:00,2023-08-25,0.3614251111416562,1.3532969773563088,-1.0552271072283872,-0.1852944192737363,-0.0984051196642799,0.1814328795922176,0.2619879891364943,0.3484263119335763,-0.2323567208168959,1.087155157466805,-0.7679461572554798,-0.6354690844358787,-0.639056430109133,1.222486399076651
2023-08-25 03:00:00,2023-08-25,0.9967041473343766,0.9879965333552068,-1.0552271072283872,-0.1852944192737363,2.607633873959861,-0.1822116364469408,-0.3297077251366159,0.4069866068787668,-0.2323567208168959,0.9999794249841368,-1.2648664367209428,-1.4101926294880325,-0.6814360630122774,1.0829069029287672
2023-08-25 06:00:00,2023-08-25,1.4117699784467337,-0.0100228396832727,-1.0552271072283872,-0.1852944192737363,-0.0558287926989869,0.0482025508293216,0.3231454199427312,0.1376092501308907,-0.2323567208168959,1.4794459536388125,-0.6333635815669169,-0.6882911443257983,-0.7244125921534942,1.2446927028806212
2023-08-25 07:00:00,2023-08-25,1.3634826698907698,-0.3753232836843744,-1.0552271072283872,-0.1852944192737363,0.1197650809382189,0.0481002575412582,0.2066104917047353,0.3601383709226146,-0.2323567208168959,1.130743023708139,-0.6851261106779026,-0.7939352641056373,-0.7676875694137472,1.257880929232022
2023-08-25 09:00:00,2023-08-25,0.9967041473343766,-1.0080422127217523,-1.0552271072283872,-0.1852944192737363,0.3645827998937237,0.1347968630209625,-0.5706874317449782,0.992589556330671,-0.2323567208168959,0.0410463676747858,2.182518002070708,-0.9171867371821164,-0.8100672023168916,1.0683089486944315
2023-08-25 10:00:00,2023-08-25,0.7032082835159983,-1.2323419483616,-1.0552271072283872,-0.1852944192737363,-0.1650401799956743,0.4126915446557966,-0.3297077251366159,1.2853910310566232,-0.2323567208168959,-0.6127716259452262,-1.2648664367209428,-0.6002543778425989,-0.8533421795771445,0.9883017501835216
