n_components,covariance_type,bic,aic,min_cluster_ratio,max_cluster_ratio,avg_cluster_confidence,silhouette_score,davies_bouldin_score,calinski_harabasz_score
6,full,154996.08061678734,152646.09589149227,0.11276345351449663,0.26789344174601476,0.9687868499792431,0.08989253897548097,2.075104300055048,950.0418340607679
5,full,163373.31907594998,161416.18893998995,0.11501016368888413,0.28469027495453086,0.9614577062958383,0.09723626641185937,2.1850583397173953,986.7888561163351
4,full,175195.85409473412,173631.57854810913,0.12078741842302343,0.32716379587033273,0.9554300179356596,0.07549372697308368,2.549377236248646,841.055683043848
3,full,182082.977613343,180911.55665605306,0.12089440462180379,0.48657323205306513,0.9708682018501738,0.08385753646495421,2.894651358132601,677.1657393307686
2,full,202858.3688451341,202079.8024771792,0.1364074034449556,0.8635925965550444,0.9885758130585491,0.17998375473471662,2.905599104166526,584.9611719664213
6,tied,217848.68579337397,217105.833478995,0.027816411682892908,0.30394779073499517,0.9823704713389607,0.11016522519850243,2.1931468134601917,1034.345766208668
6,diag,219710.89943716512,218903.76182634948,0.07317855996576442,0.28886273670696483,0.9317000230529988,0.13198589664595073,1.8306095720378845,1235.281554591629
5,tied,222786.22095477398,222114.79674754682,0.030170108056060768,0.5162084091152241,0.9335260097118235,0.1740126293127248,1.6097240383827693,1401.454997475754
4,tied,224806.02691518934,224206.030815114,0.03006312185728041,0.6105702364394993,0.9542709975357204,0.2003306223157772,1.5840346095388018,1357.0449555938849
5,diag,225930.74186594805,225259.3176587209,0.12217823900716808,0.3413929603081203,0.9356013776130963,0.12304867560770136,1.8557959501270844,1297.5772530987042
4,diag,230090.51606819822,229554.80526455952,0.1289183695303306,0.5342890767091045,0.9087798909760186,0.18410262657617757,1.990575551939055,1453.9290772008744
3,tied,230294.08226539995,229765.51427247643,0.03038408045362148,0.5126778645554724,0.9609319712536174,0.1766473011283139,1.7856982041107807,1417.3819257569685
3,diag,233344.04860615422,232944.051206104,0.10752112977425912,0.7664491280624799,0.9310768330579501,0.14828669071339648,2.2739483197934334,835.4862288356939
2,diag,242068.63233913897,241804.34834267723,0.43457793944581147,0.5654220605541885,0.8831590919002327,0.17250280691884415,2.119662259780895,1884.007743466809
2,tied,243331.48150896406,242874.34162319236,0.46988338504332944,0.5301166149566706,0.9632560621749751,0.16378538320399816,2.2251276738408783,1719.5062803180333
