Feature,Importance_Percentage
temperature_2m (°C),21.998907957445326
hour_sin,13.089698660794404
total_generation_mw,9.85715418377955
relative_humidity_2m (%),9.536123734984852
wind_speed_10m (km/h),8.84177257123201
month_cos,8.218453361761128
month_sin,6.10132597940857
wind_x_vector,5.982737017932362
wind_direction_10m (°),4.101479738767851
hour_cos,4.074317352282891
wind_y_vector,4.015520116130351
pollution_stagnation_index,3.048440639112213
rain (mm),1.1340686863684972
