no2
-1.0
0.05408
0.22377
0.39585
0.4159
0.5837300000000001
0.6387
0.68849
0.701505
0.7238150000000001
0.7380150000000001
0.8992100000000001
0.934095
0.993215
0.99747
1.04035
1.082585
1.0905
1.10099
1.14751
1.26369
1.29715
1.311355
1.315995
1.325645
1.35491
1.371725
1.39527
1.49614
1.5175550000000002
1.554995
1.63959
1.70367
1.7272150000000002
1.846275
1.86805
1.92625
1.950545
1.965945
1.966165
1.967365
1.978655
1.99901
2.03415
2.04084
2.05248
2.07053
2.076015
2.07744
2.10107
2.126345
2.16507
2.19472
2.269695
2.27612
2.28855
2.32166
2.3407400000000003
2.35149
2.3738
2.389115
2.406375
2.437135
2.450275
2.46343
2.47258
2.481885
2.48454
2.565265
2.600315
2.60714
2.61505
2.616655
2.63648
2.642135
2.649585
2.67653
2.68415
2.687855
2.70096
2.703495
2.73669
2.74358
2.74478
2.750265
2.752085
2.755265
2.77067
2.771075
2.79953
2.81307
2.81467
2.819
2.85339
2.870385
2.90455
2.92616
2.93279
2.94262
2.94927
2.954215
2.97901
2.996575
3.03291
3.039055
3.04503
3.04911
3.071555
3.076595
3.08948
3.10859
3.13361
3.14941
3.163565
3.190255
3.19535
3.198075
3.2
3.20605
3.2134
3.21853
3.242485
3.24562
3.25
3.25305
3.28098
3.3
3.32161
3.3306
3.361835
3.391015
3.39673
3.4
3.409055
3.41372
3.41649
3.417735
3.4204
3.4321650000000004
3.43629
3.46762
3.468345
3.477185
3.477225
3.48568
3.498735
3.50321
3.552905
3.55951
3.56323
3.56746
3.6
3.60349
3.6182
3.62922
3.63546
3.658885
3.67665
3.70106
3.71206
3.72061
3.739605
3.751515
3.76296
3.778195
3.78058
3.78337
3.79056
3.79904
3.8
3.80062
3.81909
3.84842
3.85003
3.85347
3.86132
3.88746
3.890925
3.9
3.9034
3.914465
3.92067
3.92916
3.937395
3.937695
3.939785
3.94576
3.948855
3.951465
3.96608
3.96833
3.980545
3.98147
3.98493
3.99024
3.99661
4.0
4.023695
4.0274
4.03034
4.03486
4.040465
4.05795
4.061265000000001
4.06738
4.078035
4.093795
4.09912
4.1
4.10125
4.11904
4.121955
4.133505
4.15408
4.15558
4.161
4.16154
4.18171
4.18304
4.185275
4.2
4.20242
4.213475
4.22698
4.228845
4.23269
4.239585
4.245615
4.25687
4.27225
4.284605
4.288625
4.29509
4.3
4.30252
4.30412
4.319265
4.34051
4.34807
4.34927
4.35445
4.36281
4.37475
4.40304
4.40362
4.408625
4.409545
4.413
4.429635
4.43549
4.44593
4.45085
4.462835
4.46478
4.471945
4.47757
4.4786
4.4848300000000005
4.48501
4.491205
4.494389999999999
4.500495
4.50781
4.55485
4.55565
4.58445
4.59836
4.6
4.60225
4.6118
4.61734
4.65466
4.658775
4.67642
4.68985
4.69848
4.7
4.70139
4.70925
4.71427
4.72132
4.72263
4.725695
4.7282150000000005
4.730205
4.73087
4.77282
4.77788
4.8
4.80975
4.82025
4.83845
4.84613
4.85223
4.854215
4.868175
4.87587
4.89545
4.8999
4.9
4.93628
4.948625
4.96962
4.979305
4.98155
4.98701
4.990065
4.99635
5.0
5.00081
5.00975
5.01495
5.01501
5.019
5.02404
5.04051
5.04861
5.050000000000001
5.0508
5.055255
5.065875
5.076090000000001
5.07695
5.09708
5.1
5.10956
5.119775000000001
5.126285
5.126945
5.1319
5.13532
5.14135
5.158545
5.1619
5.190165
5.2
5.20569
5.211005
5.22786
5.228925
5.2389
5.24274
5.260005
5.2652
5.281915
5.28325
5.287075
5.28761
5.2896
5.2936
5.3
5.3171
5.320665
5.33263
5.34435
5.34455
5.35
5.362485
5.36503
5.3737
5.37591
5.394629999999999
5.40804
5.41005
5.41839
5.422645
5.42371
5.42655
5.4313
5.45
5.45585
5.46299
5.46965
5.482525
5.482535
5.48983
5.5
5.50324
5.50338
5.5097
5.510545
5.51373
5.5204
5.5252
5.525415
5.53312
5.55295
5.56631
5.57189
5.57415
5.58052
5.58905
5.59105
5.6
5.60707
5.63595
5.65474
5.67917
5.68369
5.69272
5.69923
5.70041
5.70055
5.7006
5.71755
5.76548
5.7692
5.77863
5.785270000000001
5.80027
5.802265
5.8023
5.812485000000001
5.818585000000001
5.82178
5.8247
5.83
5.830674999999999
5.832795
5.83519
5.83797
5.84129
5.8547
5.86398
5.8739550000000005
5.87595
5.884305
5.8863
5.88737
5.88995
5.89015
5.890695
5.9
5.904629999999999
5.92296
5.931725
5.93796
5.938485
5.9422
