co
0.2
0.3
0.35
0.4
0.45
0.5
0.53
0.55
0.6
0.6000000000000001
0.65
0.7
0.7000000000000001
0.75
0.8
0.85
0.9
0.95
1.0
1.1
1.2
1.47
1.5
3.71
5.58
9.08
9.11
10.42
10.61
12.28
13.78
14.16
14.53
14.73
24.6
26.73
33.69
42.46
42.64
43.0
43.07
46.440000000000005
49.42
52.52
54.34
54.63
54.89
58.79
59.43
59.96
62.29
64.17
65.08999999999999
65.33999999999999
69.64
72.49
72.77
73.11
73.45
73.86
73.94000000000001
76.44
77.31
78.5
79.17
80.06
82.27
85.85
88.48
89.16
91.34
91.62
92.51
92.87
94.37
98.46
98.77
99.38
100.59
100.89
100.96
103.02
103.45
104.78
105.21
105.4
105.44
108.18
108.89
110.77
113.13
114.64
116.57
116.78
118.37
121.22
122.74
123.66
125.79
126.4
126.84
127.72
129.03
129.265
129.70000000000002
130.11
131.82
131.85
134.55
135.135
136.19
136.65
136.71
137.12
137.28
137.72
139.7
140.65
141.83
142.04
142.14
142.3
142.84
142.94
143.88
144.69000000000003
145.81
146.01
146.12
148.125
149.28
150.51999999999998
150.54000000000002
150.97
151.44
152.15
152.54000000000002
152.82999999999998
152.88
153.16
153.48000000000002
154.635
155.13
155.425
155.61
157.29999999999998
157.87
158.17000000000002
158.26
158.34
160.64499999999998
160.89999999999998
160.92999999999998
161.83
162.075
163.77
164.31
164.36
164.55
164.56
164.76
164.8
165.76
166.22
166.785
166.83999999999995
167.98
169.81
169.97
170.07999999999998
170.34
170.47
170.55
170.63
170.82999999999998
171.81
171.97
172.21
173.42
173.45
175.67
176.53
177.62
178.22
179.615
180.15
180.66
181.01
181.025
181.1
181.48
181.585
183.0
184.2
184.27
184.94
185.77
186.305
186.32
186.68
186.835
187.62
187.825
189.26
190.405
191.165
192.3
193.41000000000005
193.55
193.58
194.225
194.79
194.92
195.085
195.82
195.83
196.99
197.43
197.48
199.38
200.89
201.31
201.48
201.72
202.28
202.87
203.985
204.44
204.555
204.84
206.525
206.845
207.59
207.71
207.72
208.14
208.88
208.9
209.32
209.85
209.91000000000005
210.03000000000003
210.07
210.14
210.295
210.68
211.15
211.52
212.32
212.73
212.775
212.85
213.34
213.35
213.38
213.805
214.045
214.43
214.475
214.595
214.97
215.38
215.655
215.78
215.86
215.87
216.26
217.075
217.095
217.335
217.53
217.99
218.01
218.13
218.175
218.955
219.405
219.58
219.89
219.92
221.02
221.57
221.59
221.84
222.27
222.365
222.42
222.91000000000005
223.17
224.005
224.77
224.78
224.995
225.94
226.09
226.79
227.005
227.1
227.54
228.19500000000005
228.29
228.44
228.915
228.925
229.63
229.81
229.9
231.12
231.27
231.865
232.345
232.355
232.67
232.86
233.07
233.2
233.93
233.945
234.02
234.32
234.98
235.115
235.36
236.005
236.22000000000003
236.385
236.475
236.7
236.84
236.93
237.405
237.9
238.05
238.07
238.285
238.3
238.48
238.5
238.59000000000003
238.78
238.905
238.915
239.17
239.335
239.365
239.72
239.73
240.42
240.56
240.565
240.71
241.08
241.17
241.44
241.45
241.47
241.56
241.82500000000005
241.9
242.555
242.57
242.93
243.05
243.13
243.2
243.285
243.62
243.71
243.995
244.255
244.44
245.1
245.445
245.5
245.76
246.37
246.695
246.975
247.035
247.09
247.34
247.425
247.43
247.455
247.465
247.58
247.75
248.09
248.21
248.375
248.47000000000003
248.645
249.015
249.17
249.42
249.58
249.75
250.065
250.18
250.275
250.42
250.44
250.54
250.685
250.74
250.78
250.895
251.01
251.055
251.36
251.71
251.72
251.77
251.79
252.115
